"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_0","analyst_embedding_component_0","Value of the 0th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_1","analyst_embedding_component_1","Value of the 1st analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_100","analyst_embedding_component_100","Value of the 100th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_101","analyst_embedding_component_101","Value of the 101st analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_104","analyst_embedding_component_104","Value of the 104th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_105","analyst_embedding_component_105","Value of the 105th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_109","analyst_embedding_component_109","Value of the 109th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_11","analyst_embedding_component_11","Value of the 11th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_110","analyst_embedding_component_110","Value of the 110th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_111","analyst_embedding_component_111","Value of the 111th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_112","analyst_embedding_component_112","Value of the 112th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_113","analyst_embedding_component_113","Value of the 113th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_114","analyst_embedding_component_114","Value of the 114th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_115","analyst_embedding_component_115","Value of the 115th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_116","analyst_embedding_component_116","Value of the 116th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_117","analyst_embedding_component_117","Value of the 117th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_12","analyst_embedding_component_12","Value of the 12th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_13","analyst_embedding_component_13","Value of the 13th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_15","analyst_embedding_component_15","Value of the 15th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_16","analyst_embedding_component_16","Value of the 16th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_17","analyst_embedding_component_17","Value of the 17th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_18","analyst_embedding_component_18","Value of the 18th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_19","analyst_embedding_component_19","Value of the 19th analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
"earningscall_embed","Earnings Call Text Embedding Analytics","Other","analyst_embedding_component_2","analyst_embedding_component_2","Value of the 2nd analyst-related embedding component for the call.","MATRIX","USA","TOP3000","1","0.8496","","","2026-07-16T15:20:39","possible_direction=analyst"
