"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bearish_contracts_noto","broker_dealer_bearish_contracts_noto","Total contracts from selling calls and buying puts by brokers and dealers, showing negative sentiment.","MATRIX","USA","TOP3000","1","0.7728","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bearish_trade_count","broker_dealer_bearish_trade_count","Number of bearish trades (selling calls and buying puts) by brokers and dealers.","MATRIX","USA","TOP3000","1","0.9058","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bearish_trade_count_ise","broker_dealer_bearish_trade_count_ise","Number of bearish trades (selling calls and buying puts) by brokers and dealers, based on ISE data.","MATRIX","USA","TOP3000","1","0.7882","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bearish_trade_count_noto","broker_dealer_bearish_trade_count_noto","Number of bearish trades (selling calls and buying puts) by brokers and dealers, based on NOTO data.","MATRIX","USA","TOP3000","1","0.7728","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bearish_trade_count_otm","broker_dealer_bearish_trade_count_otm","Number of bearish trades (selling calls and buying puts) by brokers and dealers, for out-of-the-money contracts.","MATRIX","USA","TOP3000","1","0.7701","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bearish_vol","broker_dealer_bearish_vol","Total volume of bearish trades (selling calls and buying puts) by brokers and dealers.","MATRIX","USA","TOP3000","1","0.9058","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bearish_vol_ise","broker_dealer_bearish_vol_ise","Total volume of bearish trades (selling calls and buying puts) by brokers and dealers, based on ISE data.","MATRIX","USA","TOP3000","1","0.7882","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bearish_vol_otm","broker_dealer_bearish_vol_otm","Total volume of bearish trades (selling calls and buying puts) by brokers and dealers, for out-of-the-money contracts.","MATRIX","USA","TOP3000","1","0.7701","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bullish_contracts_noto","broker_dealer_bullish_contracts_noto","Total contracts from buying calls and selling puts by brokers and dealers, showing positive sentiment.","MATRIX","USA","TOP3000","1","0.7728","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bullish_trade_count","broker_dealer_bullish_trade_count","Number of bullish trades (buying calls and selling puts) by brokers and dealers.","MATRIX","USA","TOP3000","1","0.9058","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bullish_trade_count_ise","broker_dealer_bullish_trade_count_ise","Number of bullish trades (buying calls and selling puts) by brokers and dealers, based on ISE data.","MATRIX","USA","TOP3000","1","0.7882","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bullish_trade_count_otm","broker_dealer_bullish_trade_count_otm","Number of bullish trades (buying calls and selling puts) by brokers and dealers, for out-of-the-money contracts.","MATRIX","USA","TOP3000","1","0.7701","","","2026-07-16T15:20:39","possible_direction=analyst"
"order_flow_imb","Institutional Order Flow Imbalance","Option","broker_dealer_bullish_trades_noto","broker_dealer_bullish_trades_noto","Count of trades from buying calls and selling puts by brokers and dealers, reflecting positive sentiment.","MATRIX","USA","TOP3000","1","0.7728","","","2026-07-16T15:20:39","possible_direction=analyst"
